id,group,lang,bytes,tokens,cosine,norm_a,norm_b
edge-code,edge,,238,94,0.9997107023134664,1.00000000554775,0.9999999866689815
edge-mixed-script,edge,,100,29,0.9997842363685503,1.0000000210433775,0.9999999682113995
edge-punctuation,edge,,75,35,0.9997851478386897,1.0000000330898946,1.000000043679665
evidence-concept-0,evidence,,39,12,0.9998277291711613,0.9999999944625083,1.000000003713154
evidence-concept-1,evidence,,40,11,0.9998304610790021,1.0000000541100902,0.9999999675260647
evidence-concept-2,evidence,,34,8,0.9998013297901261,0.9999999683533909,0.9999999727947262
evidence-framed-0,evidence,,48,14,0.9998158080026897,1.0000000241060003,1.000000002252152
evidence-framed-1,evidence,,49,13,0.9998221384016974,0.9999999934842845,1.0000000317973796
evidence-framed-2,evidence,,43,10,0.9998370249789938,1.0000000449279123,1.000000021572453
evidence-query-0,evidence,,36,9,0.9998457121176575,0.9999999535976064,0.9999999902073294
evidence-query-1,evidence,,26,7,0.9998093261930018,1.0000000017024286,0.9999999987880352
evidence-query-2,evidence,,42,9,0.9998566213432108,1.000000034998928,0.9999999642193367
synth-ar-1024,synthetic,ar,1024,184,0.9996486921896527,0.9999999758590697,1.0000000309941477
synth-ar-128,synthetic,ar,127,26,0.9987788919645895,1.0000000017816613,1.0000000102004176
synth-ar-2048,synthetic,ar,2048,366,0.999492537719077,1.0000000058448513,1.0000000228735777
synth-ar-32,synthetic,ar,31,8,0.9997851632560892,1.0000000170835848,1.0000000235956092
synth-ar-4096,synthetic,ar,4095,728,0.9996969564538214,0.9999999894672744,1.0000000446661164
synth-ar-512,synthetic,ar,512,93,0.9997245043604148,0.9999999432543478,1.0000000243381517
synth-ar-8192,synthetic,ar,8192,1453,0.999368676942618,1.0000000274275223,1.0000000291833664
synth-de-1024,synthetic,de,1024,226,0.9997072669268311,0.9999999893322594,0.9999999696095714
synth-de-128,synthetic,de,128,30,0.9997406999695324,0.9999999883924218,1.0000000399884783
synth-de-2048,synthetic,de,2048,451,0.9996596232864138,1.0000000064288164,0.9999999765704206
synth-de-32,synthetic,de,32,9,0.999780033168365,0.9999999701177468,1.000000002366907
synth-de-4096,synthetic,de,4096,901,0.9994778765222065,0.9999999936581818,0.9999999874340937
synth-de-512,synthetic,de,512,115,0.9996960782206294,1.000000012855273,1.0000000154141677
synth-de-8192,synthetic,de,8192,1800,0.9995256066587095,0.999999993464456,0.9999999609797978
synth-en-1024,synthetic,en,1024,251,0.9997452224848691,1.0000000023777977,0.9999999903490231
synth-en-128,synthetic,en,128,32,0.9997680708666398,0.9999999843135846,0.9999999759851927
synth-en-2048,synthetic,en,2048,499,0.9997182971589297,1.000000035170405,1.0000000297611746
synth-en-32,synthetic,en,32,11,0.999812553704719,1.0000000001684188,1.000000009358837
synth-en-4096,synthetic,en,4096,1000,0.9994996628711266,0.9999999875071032,1.0000000265611269
synth-en-512,synthetic,en,512,126,0.9997555924609102,0.9999999932169351,0.9999999638569848
synth-en-8192,synthetic,en,8192,1994,0.9996178806664989,0.9999999793261615,1.0000000174603556
synth-es-1024,synthetic,es,1024,201,0.9990597361167222,0.9999999632041869,1.0000000315269912
synth-es-128,synthetic,es,128,27,0.9991788651109158,0.9999999709806383,1.0000000459750877
synth-es-2048,synthetic,es,2048,397,0.999703789514435,0.999999998741785,1.0000000303293173
synth-es-32,synthetic,es,32,10,0.9979331215786957,0.9999999897488734,0.9999999991205757
synth-es-4096,synthetic,es,4096,793,0.9997018200859065,0.9999999529919771,0.999999998211189
synth-es-512,synthetic,es,512,103,0.9997253599533841,0.9999999881503456,1.0000000165272276
synth-es-8192,synthetic,es,8192,1581,0.9989019673374189,1.0000000182819653,0.9999999655561393
synth-he-1024,synthetic,he,1023,184,0.9996989521465064,1.0000000411803027,1.000000023479243
synth-he-128,synthetic,he,127,25,0.9997522684661025,0.9999999836500074,0.9999999706152339
synth-he-2048,synthetic,he,2048,365,0.9997094112058281,0.9999999875511756,1.0000000207305335
synth-he-32,synthetic,he,31,8,0.9998312225417435,0.9999999873478499,1.0000000214328124
synth-he-4096,synthetic,he,4095,730,0.9997093964431369,0.9999999964332483,0.9999999851959858
synth-he-512,synthetic,he,511,93,0.9997284044689944,0.9999999811468548,1.0000000163040852
synth-he-8192,synthetic,he,8192,1459,0.9997071614711549,1.0000000073836013,1.0000000331110805
synth-hi-1024,synthetic,hi,1022,105,0.9996998608875206,0.9999999806734613,0.9999999750542103
synth-hi-128,synthetic,hi,128,13,0.9997566822453455,1.0000000067418129,1.000000046483697
synth-hi-2048,synthetic,hi,2048,210,0.9997369436170175,1.0000000063085444,1.0000000028288936
synth-hi-32,synthetic,hi,32,5,0.9998084303685605,0.9999999772151008,0.9999999675367489
synth-hi-4096,synthetic,hi,4096,420,0.9996357288021358,0.9999999892707337,1.0000000421204867
synth-hi-512,synthetic,hi,511,54,0.9997330000835349,0.9999999924559326,1.0000000051653946
synth-hi-8192,synthetic,hi,8192,839,0.9996999856633078,0.9999999369983229,1.0000000130907203
synth-ja-1024,synthetic,ja,1023,190,0.9997740373469937,1.000000008693576,1.0000000229317174
synth-ja-128,synthetic,ja,126,27,0.9997934528170933,0.9999999622997227,1.000000009693899
synth-ja-2048,synthetic,ja,2046,375,0.9997406411238055,0.999999994645926,1.0000000020420776
synth-ja-32,synthetic,ja,30,10,0.999806629071718,0.9999999867268299,0.9999999522253445
synth-ja-4096,synthetic,ja,4095,749,0.9996563089935514,0.9999999643809018,1.0000000390350419
synth-ja-512,synthetic,ja,510,97,0.9997589326149099,1.0000000022369047,0.999999996881508
synth-ja-8192,synthetic,ja,8190,1493,0.9995830854207124,0.9999999848980045,0.9999999893923041
synth-ko-1024,synthetic,ko,1024,239,0.9993988581542073,0.9999999897433625,0.9999999878445417
