id,group,lang,bytes,tokens,cosine,norm_a,norm_b
edge-code,edge,,238,94,0.9997106984452973,1.0000000182809352,0.9999999866689815
edge-mixed-script,edge,,100,29,0.9997842317631217,0.9999999542394518,0.9999999682113995
edge-punctuation,edge,,75,35,0.9997851384011112,0.9999999859596607,1.000000043679665
evidence-concept-0,evidence,,39,12,0.999827724145339,1.0000000339065376,1.000000003713154
evidence-concept-1,evidence,,40,11,0.9998304548457696,1.0000000794005401,0.9999999675260647
evidence-concept-2,evidence,,34,8,0.9998013279640575,1.0000000944041123,0.9999999727947262
evidence-framed-0,evidence,,48,14,0.9998158045660115,0.9999999710955012,1.000000002252152
evidence-framed-1,evidence,,49,13,0.9998221306898546,0.9999999796321933,1.0000000317973796
evidence-framed-2,evidence,,43,10,0.9998370227654627,0.9999999865428448,1.000000021572453
evidence-query-0,evidence,,36,9,0.9998457074113724,1.0000000073654918,0.9999999902073294
evidence-query-1,evidence,,26,7,0.9998093192945967,1.0000001182304472,0.9999999987880352
evidence-query-2,evidence,,42,9,0.999856618479643,0.9999999799668183,0.9999999642193367
synth-ar-1024,synthetic,ar,1024,184,0.9996487154628788,1.0000000277864909,1.0000000309941477
synth-ar-128,synthetic,ar,127,26,0.9987788598037447,1.0000000312258281,1.0000000102004176
synth-ar-2048,synthetic,ar,2048,366,0.999492570323531,0.99999994381933,1.0000000228735777
synth-ar-32,synthetic,ar,31,8,0.9997851575559127,0.9999999795679209,1.0000000235956092
synth-ar-4096,synthetic,ar,4095,728,0.9996969498181407,1.0000000106125435,1.0000000446661164
synth-ar-512,synthetic,ar,512,93,0.9997244956388096,1.0000000215486635,1.0000000243381517
synth-ar-8192,synthetic,ar,8192,1453,0.999368690160078,0.999999989822375,1.0000000291833664
synth-de-1024,synthetic,de,1024,226,0.9997072648060645,0.9999999559296132,0.9999999696095714
synth-de-128,synthetic,de,128,30,0.9997406992307699,1.0000000102956474,1.0000000399884783
synth-de-2048,synthetic,de,2048,451,0.9996596196079854,1.000000065737807,0.9999999765704206
synth-de-32,synthetic,de,32,9,0.9997800289963017,1.0000000592428058,1.000000002366907
synth-de-4096,synthetic,de,4096,901,0.9994779112612184,0.9999998994529439,0.9999999874340937
synth-de-512,synthetic,de,512,115,0.9996960645738978,1.000000001229343,1.0000000154141677
synth-de-8192,synthetic,de,8192,1800,0.9995255763751063,1.0000000027805869,0.9999999609797978
synth-en-1024,synthetic,en,1024,251,0.9997452208704636,0.9999999777680932,0.9999999903490231
synth-en-128,synthetic,en,128,32,0.9997680695832382,1.0000000425613138,0.9999999759851927
synth-en-2048,synthetic,en,2048,499,0.9997183062082964,1.0000000799415318,1.0000000297611746
synth-en-32,synthetic,en,32,11,0.9998125517094508,1.0000000111799698,1.000000009358837
synth-en-4096,synthetic,en,4096,1000,0.9994996563492891,1.000000008941843,1.0000000265611269
synth-en-512,synthetic,en,512,126,0.9997555842948626,1.0000000114974867,0.9999999638569848
synth-en-8192,synthetic,en,8192,1994,0.999617878669216,1.0000000562585238,1.0000000174603556
synth-es-1024,synthetic,es,1024,201,0.9990597040122481,1.0000000397642541,1.0000000315269912
synth-es-128,synthetic,es,128,27,0.9991788501396347,0.9999999269969642,1.0000000459750877
synth-es-2048,synthetic,es,2048,397,0.9997037907349657,1.000000075965428,1.0000000303293173
synth-es-32,synthetic,es,32,10,0.9979331174273228,0.9999999832632944,0.9999999991205757
synth-es-4096,synthetic,es,4096,793,0.9997018002916247,1.000000007463902,0.999999998211189
synth-es-512,synthetic,es,512,103,0.9997253519758875,1.0000000045463446,1.0000000165272276
synth-es-8192,synthetic,es,8192,1581,0.9989019318468126,1.0000000703520844,0.9999999655561393
synth-he-1024,synthetic,he,1023,184,0.999698946690716,1.000000034709521,1.000000023479243
synth-he-128,synthetic,he,127,25,0.9997522580245962,1.000000040242994,0.9999999706152339
synth-he-2048,synthetic,he,2048,365,0.9997094145616592,1.0000000706387846,1.0000000207305335
synth-he-32,synthetic,he,31,8,0.9998312234879098,0.9999999630645937,1.0000000214328124
synth-he-4096,synthetic,he,4095,730,0.9997093868039609,1.000000054166072,0.9999999851959858
synth-he-512,synthetic,he,511,93,0.9997283964141757,0.99999999780226,1.0000000163040852
synth-he-8192,synthetic,he,8192,1459,0.9997071397540594,0.9999999925369829,1.0000000331110805
synth-hi-1024,synthetic,hi,1022,105,0.9996998486229519,1.0000000220677032,0.9999999750542103
synth-hi-128,synthetic,hi,128,13,0.9997566764450625,1.0000000018616468,1.000000046483697
synth-hi-2048,synthetic,hi,2048,210,0.9997369412058439,0.9999999783852059,1.0000000028288936
synth-hi-32,synthetic,hi,32,5,0.9998084262350779,1.0000000719156785,0.9999999675367489
synth-hi-4096,synthetic,hi,4096,420,0.9996357545106805,1.0000000425911453,1.0000000421204867
synth-hi-512,synthetic,hi,511,54,0.9997329969033077,1.000000029277061,1.0000000051653946
synth-hi-8192,synthetic,hi,8192,839,0.999699984728643,1.0000000358194732,1.0000000130907203
synth-ja-1024,synthetic,ja,1023,190,0.9997740319199068,0.9999999776989139,1.0000000229317174
synth-ja-128,synthetic,ja,126,27,0.9997934486136029,0.999999896903352,1.000000009693899
synth-ja-2048,synthetic,ja,2046,375,0.9997406452994944,1.000000039528728,1.0000000020420776
synth-ja-32,synthetic,ja,30,10,0.999806621550843,0.999999941939816,0.9999999522253445
synth-ja-4096,synthetic,ja,4095,749,0.9996563115135341,1.0000000478141382,1.0000000390350419
synth-ja-512,synthetic,ja,510,97,0.9997589291095996,1.0000000207742643,0.999999996881508
synth-ja-8192,synthetic,ja,8190,1493,0.9995830826522156,1.0000001089713892,0.9999999893923041
synth-ko-1024,synthetic,ko,1024,239,0.9993988476741195,1.0000000789222505,0.9999999878445417
synth-ko-128,synthetic,ko,127,31,0.9997541013643746,0.9999999556386483,1.0000000253814982
synth-ko-2048,synthetic,ko,2048,473,0.9996842966883828,1.0000000405168235,1.0000000154392787
synth-ko-32,synthetic,ko,30,9,0.9998173080801681,1.000000018925211,0.9999999936378301
synth-ko-4096,synthetic,ko,4095,944,0.999585714744442,1.0000000971105019,0.9999999929002811
synth-ko-512,synthetic,ko,511,120,0.9997079910990331,1.0000000111881473,1.0000000386449523
synth-ko-8192,synthetic,ko,8191,1886,0.9993274491144304,0.9999999496518255,1.0000000006404315
synth-ru-1024,synthetic,ru,1024,119,0.9997416142793478,1.0000000145793164,0.999999976317626
synth-ru-128,synthetic,ru,128,17,0.9990264223420421,1.0000000982974329,1.0000000318347328
synth-ru-2048,synthetic,ru,2048,234,0.9997146598128788,1.0000000734355334,1.0000000313904942
synth-ru-32,synthetic,ru,32,8,0.9996356055310236,0.9999999469293261,0.9999999779583693
synth-ru-4096,synthetic,ru,4096,471,0.9996632910048417,1.0000000271271061,1.0000000292543432
synth-ru-512,synthetic,ru,512,61,0.9997642713590431,0.9999999890455415,0.9999999870169476
synth-ru-8192,synthetic,ru,8191,936,0.9995860836848947,0.9999999490263357,0.9999999821075541
synth-zh-1024,synthetic,zh,1023,239,0.9997654959597576,0.9999999626761111,1.000000018221183
synth-zh-128,synthetic,zh,126,34,0.9998186893108804,0.9999999267071605,1.0000000386868078
synth-zh-2048,synthetic,zh,2046,475,0.9997286121169103,0.9999999666414859,0.9999999930317651
synth-zh-32,synthetic,zh,30,10,0.9998684579125762,1.0000000580163022,0.9999999699418187
synth-zh-4096,synthetic,zh,4095,949,0.9996714126167787,1.0000000690759716,0.9999999566664541
synth-zh-512,synthetic,zh,510,122,0.9997971044511705,0.9999999153882595,1.000000027238393
synth-zh-8192,synthetic,zh,8190,1893,0.9995149955349723,1.0000000158087283,0.9999999948257818
